bioma,mes,total_mes
Amazônia,1,35.105
Amazônia,2,17.993
Amazônia,3,23.688
Amazônia,4,14.719
Amazônia,5,22.160
Amazônia,6,62.185
Amazônia,7,144.139
Amazônia,8,603.120
Amazônia,9,746.346
Amazônia,10,368.478
Amazônia,11,293.536
Amazônia,12,148.880
Caatinga,1,11.538
Caatinga,2,3.346
Caatinga,3,2.903
Caatinga,4,1.872
Caatinga,5,1.928
Caatinga,6,2.895
Caatinga,7,7.262
Caatinga,8,22.598
Caatinga,9,74.672
Caatinga,10,110.069
Caatinga,11,90.249
Caatinga,12,59.456
Cerrado,1,12.561
Cerrado,2,10.187
Cerrado,3,12.568
Cerrado,4,17.470
Cerrado,5,36.699
Cerrado,6,86.056
Cerrado,7,147.755
Cerrado,8,321.841
Cerrado,9,520.015
Cerrado,10,274.093
Cerrado,11,79.470
Cerrado,12,31.897
Mata Atlântica,1,10.174
Mata Atlântica,2,9.450
Mata Atlântica,3,10.695
Mata Atlântica,4,10.945
Mata Atlântica,5,13.385
Mata Atlântica,6,18.213
Mata Atlântica,7,36.318
Mata Atlântica,8,92.640
Mata Atlântica,9,97.492
Mata Atlântica,10,67.228
Mata Atlântica,11,27.810
Mata Atlântica,12,15.448
Pampa,1,975
Pampa,2,671
Pampa,3,1.228
Pampa,4,1.669
Pampa,5,1.692
Pampa,6,1.498
Pampa,7,2.865
Pampa,8,5.570
Pampa,9,2.835
Pampa,10,1.399
Pampa,11,835
Pampa,12,1.904
Pantanal,1,2.863
Pantanal,2,1.412
Pantanal,3,1.639
Pantanal,4,2.171
Pantanal,5,2.548
Pantanal,6,3.719
Pantanal,7,10.541
Pantanal,8,36.716
Pantanal,9,48.446
Pantanal,10,23.036
Pantanal,11,9.811
Pantanal,12,4.500
